City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
198,Tiznit,MA,2021-02-04 17:54:24,29.5833,-9.5,56.46,84,31,6.98
199,Varkkallai,IN,2021-02-04 17:54:24,8.7341,76.7067,82.4,69,20,4.83
200,Marawi,PH,2021-02-04 17:54:24,7.9986,124.2928,73.99,93,54,5.99
201,Stephenville,US,2021-02-04 17:54:24,32.2207,-98.2023,62.01,39,1,21.85
202,Changji,CN,2021-02-04 17:54:24,44.0167,87.3167,10.4,85,46,2.24
203,Wanning,CN,2021-02-04 17:54:25,18.8003,110.3967,69.26,78,92,4.29
204,Montepuez,MZ,2021-02-04 17:54:25,-13.1256,38.9997,72.25,91,65,2.24
205,Mahibadhoo,MV,2021-02-04 17:54:25,3.7833,72.9667,81.99,72,99,16.33
206,Pocone,BR,2021-02-04 17:54:25,-16.2567,-56.6228,98.51,37,99,4.03
207,Carnarvon,AU,2021-02-04 17:54:25,-24.8667,113.6333,78.98,85,100,19.82
208,Kieta,PG,2021-02-04 17:52:16,-6.2167,155.6333,79.12,75,100,4.47
209,Loikaw,MM,2021-02-04 17:54:25,19.6742,97.2094,59.97,53,0,3.69
210,Sabla,NG,2021-02-04 17:54:25,12.7525,4.7077,83.61,14,5,9.26
211,Calvinia,ZA,2021-02-04 17:54:26,-31.4707,19.776,72.1,38,0,6.89
212,Raudeberg,NO,2021-02-04 17:54:26,61.9875,5.1352,24.8,58,40,11.5
213,Sibolga,ID,2021-02-04 17:54:26,1.7427,98.7792,77.07,85,100,2.73
214,Contai,IN,2021-02-04 17:54:26,21.7786,87.7536,63.84,52,0,5.12
215,Aykino,RU,2021-02-04 17:54:26,62.2248,49.9922,15.67,97,100,5.48
216,Ojinaga,MX,2021-02-04 17:54:26,29.5667,-104.4167,72.0,24,1,3.44
217,Ilulissat,GL,2021-02-04 17:54:26,69.2167,-51.1,-0.4,32,1,11.5
218,Sal Rei,CV,2021-02-04 17:54:27,16.1833,-22.9167,73.4,64,90,23.02
219,Garden City,US,2021-02-04 17:54:27,42.3256,-83.331,35.6,69,75,11.5
220,Pisco,PE,2021-02-04 17:54:27,-13.7,-76.2167,73.99,88,40,8.05
221,Vila Velha,BR,2021-02-04 17:54:27,-20.3297,-40.2925,90.0,58,20,19.57
222,Meulaboh,ID,2021-02-04 17:52:34,4.1363,96.1285,77.47,87,85,4.52
223,Iskateley,RU,2021-02-04 17:54:27,67.6803,53.1512,-14.39,89,68,9.51
224,Altay,CN,2021-02-04 17:54:27,47.8667,88.1167,18.07,91,95,1.72
225,Evensk,RU,2021-02-04 17:54:27,61.95,159.2333,2.35,87,100,28.14
226,Batagay,RU,2021-02-04 17:54:27,67.6333,134.6333,-40.68,79,87,1.28
227,Sorland,NO,2021-02-04 17:54:27,67.667,12.6934,37.4,65,20,12.66
228,Barabai,ID,2021-02-04 17:54:28,-2.5833,115.3833,73.89,91,94,0.94
229,Rio Gallegos,AR,2021-02-04 17:54:28,-51.6226,-69.2181,77.0,33,40,32.21
230,Rocha,UY,2021-02-04 17:54:28,-34.4833,-54.3333,71.87,59,100,19.19
231,Jorochito,BO,2021-02-04 17:54:28,-18.05,-63.4333,82.4,54,40,17.27
232,Katsuura,JP,2021-02-04 17:54:28,35.1333,140.3,39.2,48,20,8.05
233,Brownsville,US,2021-02-04 17:51:27,25.9018,-97.4975,80.6,54,75,28.77
234,Port Alfred,ZA,2021-02-04 17:54:28,-33.5906,26.891,70.0,82,57,9.55
235,Praia Da Vitoria,PT,2021-02-04 17:54:29,38.7333,-27.0667,54.0,87,75,27.25
236,Hofn,IS,2021-02-04 17:54:29,64.2539,-15.2082,35.8,80,100,12.93
237,Bedele,ET,2021-02-04 17:54:29,8.456,36.353,66.29,35,43,4.99
238,Champerico,GT,2021-02-04 17:54:29,14.3,-91.9167,84.2,65,40,9.22
239,Srednekolymsk,RU,2021-02-04 17:54:29,67.45,153.6833,-0.98,82,100,17.34
240,Acapulco,MX,2021-02-04 17:54:29,16.8634,-99.8901,84.2,65,1,4.61
241,Padang,ID,2021-02-04 17:52:09,-0.9492,100.3543,78.8,94,40,2.3
242,Alta Floresta,BR,2021-02-04 17:54:29,-9.8756,-56.0861,89.6,62,40,3.44
243,Aklavik,CA,2021-02-04 17:52:13,68.2191,-135.0107,-45.4,66,1,6.04
244,Chibombo,ZM,2021-02-04 17:54:29,-14.6569,28.0706,68.0,92,89,4.41
245,Yar-Sale,RU,2021-02-04 17:54:29,66.8333,70.8333,-24.2,86,41,6.78
246,Norman Wells,CA,2021-02-04 17:54:30,65.282,-126.8329,-50.8,65,40,3.44
247,Falun,SE,2021-02-04 17:54:30,60.6036,15.626,12.0,85,20,9.22
248,Mandan,US,2021-02-04 17:54:30,46.8267,-100.8896,10.4,78,1,23.02
249,Alice Springs,AU,2021-02-04 17:54:30,-23.7,133.8833,78.8,78,93,8.39
250,Obihiro,JP,2021-02-04 17:54:30,42.9172,143.2044,7.03,87,24,9.1
251,Fare,PF,2021-02-04 17:54:30,-16.7,-151.0167,80.89,67,19,4.81
252,Axim,GH,2021-02-04 17:54:30,4.8699,-2.2405,81.5,78,15,8.39
253,Fairview,US,2021-02-04 17:54:30,40.8126,-73.999,41.0,48,1,12.66
254,Prince Rupert,CA,2021-02-04 17:54:31,54.3161,-130.3201,41.0,93,90,6.91
255,Eyrarbakki,IS,2021-02-04 17:54:31,63.863,-21.1481,37.4,70,75,25.32
256,Ugoofaaru,MV,2021-02-04 17:54:31,5.6667,73.0,81.72,75,56,10.65
